company,language,amount
Uber,Java,2441
Uber,JavaScript,243
Uber,Lua,5
Uber,TypeScript,38
Uber,Jupyter Notebook,17
Uber,Swift,10
Uber,Assembly,1
Uber,Kotlin,176
Uber,C++,84
Uber,Starlark,89
Uber,Python,158
Uber,HTML,5
Uber,Rust,11
Uber,Vue,35
Uber,Makefile,5
Atlassian,TypeScript,4265
Atlassian,Shell,50
Atlassian,C++,22
Atlassian,Python,632
Atlassian,HCL,109
Atlassian,Nix,4
Atlassian,Scala,2
Atlassian,Ruby,5
Atlassian,CSS,80
Atlassian,C,20
Atlassian,Vim script,6
Atlassian,Vim Script,6
Atlassian,Kotlin,1146
Atlassian,Java,1277
Atlassian,C#,17
Atlassian,JavaScript,695
Atlassian,HTML,153
Atlassian,Go,333
Atlassian,Rust,10
Atlassian,Haskell,1
ONLYOFFICE,HTML,4156
ONLYOFFICE,Java,665
ONLYOFFICE,PHP,1012
ONLYOFFICE,Vue,27
ONLYOFFICE,C#,6429
ONLYOFFICE,Python,525
ONLYOFFICE,Inno Setup,23
ONLYOFFICE,C++,2621
ONLYOFFICE,Dart,8
ONLYOFFICE,Ruby,433
ONLYOFFICE,PowerShell,7
ONLYOFFICE,JavaScript,7443
ONLYOFFICE,Smarty,63
ONLYOFFICE,Swift,368
ONLYOFFICE,Shell,579
ONLYOFFICE,ASP.NET,897
ONLYOFFICE,CSS,197
ONLYOFFICE,Kotlin,359
ONLYOFFICE,Go,63
ONLYOFFICE,Makefile,21
ONLYOFFICE,Dockerfile,43
Accenture,JavaScript,1533
Accenture,PHP,243
Accenture,Kotlin,27576
Accenture,Mustache,58
Accenture,HCL,201
Accenture,Twig,11
Accenture,PowerShell,11
Accenture,Dockerfile,7
Accenture,Jupyter Notebook,4
Accenture,Rich Text Format,1
Accenture,Jinja,1
Accenture,Java,1750
Accenture,Shell,238
Accenture,HTML,343
Accenture,Swift,21
Accenture,Elixir,483
Accenture,Go,85
Accenture,C,38
Accenture,Apex,85
Accenture,Handlebars,26
Accenture,Vim Script,6
Accenture,TSQL,1
Accenture,Ruby,1
Accenture,Lua,1
Accenture,Rust,299
Accenture,TypeScript,1577
Accenture,C#,219
Accenture,CSS,6
Accenture,Vim script,6
Accenture,Python,334
Accenture,C++,6
Accenture,Gherkin,1787
Accenture,Scala,49
Accenture,Dart,5
Accenture,TeX,2
CGI,Apex,141
CGI,Java,4610
CGI,TypeScript,2847
CGI,Vue,1298
CGI,C#,349
CGI,Jinja,44
CGI,Groovy,15
CGI,Go,172
CGI,HCL,354
CGI,Dockerfile,2
CGI,Swift,1
CGI,TSQL,56
CGI,GLSL,95
CGI,Rich Text Format,21
CGI,Shell,77
CGI,C++,70
CGI,SCSS,11
CGI,PowerShell,3
CGI,Scala,2
CGI,Rust,4
CGI,Kotlin,1
CGI,PLpgSQL,591
CGI,JavaScript,1995
CGI,Jupyter Notebook,14
CGI,Python,98
CGI,Dart,38
CGI,Mustache,2
Netflix,JavaScript,343
Netflix,Makefile,19
Netflix,Starlark,11
Netflix,R,8
Netflix,CSS,2
Netflix,C++,85
Netflix,Python,1927
Netflix,Shell,14
Netflix,Vue,18
Netflix,Vim Script,21
Netflix,C,33
Netflix,Emacs Lisp,4
Netflix,Lua,3
Netflix,Assembly,1
Netflix,Kotlin,532
Netflix,Jupyter Notebook,59
Netflix,HTML,31
Netflix,Scala,44
Netflix,TeX,4
Netflix,PowerShell,1
Netflix,Go,180
Netflix,Java,1837
Netflix,TypeScript,107
Netflix,Groovy,958
Netflix,Ruby,7
Aiven,Java,5105
Aiven,Python,2207
Aiven,C,125
Aiven,C++,149
Aiven,ANTLR,2
Aiven,HCL,7
Aiven,CSS,1
Aiven,PLpgSQL,2335
Aiven,Perl,8
Aiven,Shell,6
Aiven,Kotlin,4
Aiven,HTML,3436
Aiven,Go,1921
Aiven,Scala,1418
Aiven,JavaScript,7
Aiven,Nix,10
Aiven,Rust,6
Aiven,Smarty,14
Aiven,Ruby,3
Aiven,CoffeeScript,18
Aiven,Apex,1
Aiven,TypeScript,2
Aiven,Jinja,1
IOHK,TeX,192
IOHK,Haskell,22298
IOHK,Perl,4505
IOHK,Python,148
IOHK,PureScript,1748
IOHK,Nix,4174
IOHK,Scala,609
IOHK,Jupyter Notebook,41
IOHK,Shell,64
IOHK,Go,26
IOHK,C,5
IOHK,CSS,8
IOHK,Emacs Lisp,10
IOHK,Ruby,15
IOHK,Rust,948
IOHK,TypeScript,4025
IOHK,Isabelle,127
IOHK,JavaScript,137
IOHK,Crystal,8
Siemens,Python,2779
Siemens,SCSS,61
Siemens,BitBake,107
Siemens,C#,264
Siemens,Markdown,23
Siemens,Smarty,8
Siemens,Vim script,3
Siemens,NASL,1
Siemens,Mustache,4
Siemens,Rust,2
Siemens,Jinja,4
Siemens,Nix,2
Siemens,Go,26
Siemens,Vim Script,1
Siemens,Lua,1
Siemens,Emacs Lisp,3
Siemens,Makefile,2
Siemens,TypeScript,1668
Siemens,Java,728
Siemens,Jupyter Notebook,14
Siemens,CSS,1
Siemens,Kotlin,135
Siemens,C,2570
Siemens,JavaScript,140
Siemens,HTML,229
Siemens,Perl,735
Siemens,PHP,315
Siemens,C++,209
Siemens,Shell,16
Siemens,Ruby,8
WIX,Scala,731
WIX,Shell,3615
WIX,Starlark,389
WIX,Python,31
WIX,Objective-C,192
WIX,PEG.js,14
WIX,JavaScript,1041
WIX,TypeScript,4418
WIX,Lua,3
WIX,C++,1
WIX,HTML,22
WIX,Go,9
WIX,Rust,2
WIX,Java,1147
WIX,C,7
WIX,CSS,1
WIX,Markdown,1
Capgemini,HTML,183
Capgemini,Jinja,369
Capgemini,PowerShell,19
Capgemini,Go,21
Capgemini,SCSS,1
Capgemini,PHP,19
Capgemini,Shell,218
Capgemini,JavaScript,5354
Capgemini,Rust,78
Capgemini,Vue,80
Capgemini,Python,30
Capgemini,Handlebars,203
Capgemini,Smarty,126
Capgemini,Scala,16
Capgemini,Assembly,5
Capgemini,Apex,1
Capgemini,C#,139
Capgemini,C++,197
Capgemini,CSS,27
Capgemini,OpenSCAD,3
Capgemini,Java,719
Capgemini,Smalltalk,20
Capgemini,HCL,21
Capgemini,TypeScript,1856
Capgemini,Vim script,1
Capgemini,C,1
Capgemini,TSQL,1
Sony,C++,612
Sony,Nix,5
Sony,Cuda,95
Sony,PHP,81
Sony,Makefile,9
Sony,Shell,38
Sony,C#,8
Sony,Handlebars,12
Sony,Tcl,1
Sony,Python,768
Sony,Rust,90
Sony,EmberScript,1
Sony,C,970
Sony,TypeScript,716
Sony,Logos,1
Sony,HTML,23
Sony,Jupyter Notebook,12
Sony,SCSS,31
Sony,JavaScript,18
Sony,Vim Script,3
Sony,Go,88
Sony,Java,1431
Sony,Ruby,1
Instructure,Ruby,11717
Instructure,C,88
Instructure,TypeScript,757
Instructure,Dockerfile,45
Instructure,Rust,9
Instructure,D,6
Instructure,Swift,1515
Instructure,Python,71
Instructure,JavaScript,111
Igalia,Shell,83
Igalia,JSON,28
Igalia,Markdown,5
Igalia,Dockerfile,4
Igalia,Logos,1
Igalia,GLSL,2
Igalia,Ruby,1
Igalia,HTML,507
Igalia,Rust,216
Igalia,WebAssembly,47
Igalia,JavaScript,2239
Igalia,SCSS,62
Igalia,Scheme,17
Igalia,Python,797
Igalia,Java,1983
Igalia,C++,1603
Igalia,Makefile,330
Igalia,BitBake,113
Igalia,TypeScript,36
Igalia,SaltStack,30
Igalia,TeX,2
Igalia,C,2345
Igalia,NASL,39
Igalia,PHP,1
Igalia,Meson,1
Shopware,Python,1
Shopware,Nix,74
Shopware,TypeScript,97
Shopware,Go,354
Shopware,Rust,56
Shopware,Kotlin,12
Shopware,PHP,7558
Shopware,HTML,13
Shopware,Vue,392
Shopware,JavaScript,1104
Shopware,Shell,5
Shopware,Java,1
Bloomberg,Go,352
Bloomberg,Ruby,11
Bloomberg,Emacs Lisp,44
Bloomberg,PHP,16
Bloomberg,C,2301
Bloomberg,Python,2697
Bloomberg,TypeScript,55
Bloomberg,Kotlin,239
Bloomberg,JavaScript,38
Bloomberg,Swift,32
Bloomberg,Starlark,115
Bloomberg,Vim script,4
Bloomberg,Dockerfile,5
Bloomberg,Makefile,130
Bloomberg,Shell,52
Bloomberg,Perl,108
Bloomberg,Haskell,15
Bloomberg,Vim Script,10
Bloomberg,Rust,15
Bloomberg,C++,687
Bloomberg,HTML,624
Bloomberg,Java,60
Bloomberg,Jsonnet,14
Bloomberg,OCaml,1
Bloomberg,SCSS,1
Bloomberg,Scala,1
Bloomberg,CMake,1
RTE,Jupyter Notebook,15
RTE,C++,2262
RTE,CSS,762
RTE,Java,10396
RTE,Shell,240
RTE,JavaScript,3114
RTE,C,2180
RTE,Dockerfile,11
RTE,Python,1601
RTE,HTML,293
RTE,Groovy,16
RTE,R,94
RTE,SCSS,20
WSO2,TypeScript,1764
WSO2,HTML,3032
WSO2,Java,15707
WSO2,Python,314
WSO2,Smarty,11
WSO2,C++,3
WSO2,Go,76
WSO2,Lua,2
WSO2,JavaScript,397
WSO2,CSS,712
WSO2,Ballerina,8233
WSO2,Shell,5403
WSO2,Groovy,45
WSO2,Dockerfile,13
WSO2,PHP,1
Twilio,PHP,77
Twilio,Kotlin,32
Twilio,C#,126
Twilio,C,111
Twilio,JavaScript,966
Twilio,Rust,6
Twilio,Squirrel,6
Twilio,Vim Script,2
Twilio,Ruby,112
Twilio,Shell,4
Twilio,Go,555
Twilio,TypeScript,3384
Twilio,Makefile,46
Twilio,Python,295
Twilio,HTML,136
Twilio,Java,1331
Twilio,CMake,1
Twilio,Swift,69
Twilio,PowerShell,37
Twilio,Objective-C,7
Camptocamp,JavaScript,4108
Camptocamp,TypeScript,2532
Camptocamp,Java,2132
Camptocamp,Vue,203
Camptocamp,CSS,25
Camptocamp,Rust,2
Camptocamp,Shell,2
Camptocamp,Python,7458
Camptocamp,Go,45
Camptocamp,HCL,870
Camptocamp,Puppet,27
Camptocamp,Jinja,18
Camptocamp,Gettext Catalog,1
Camptocamp,C++,1
Camptocamp,Scheme,3
Camptocamp,Smarty,102
Camptocamp,Mustache,105
Camptocamp,HTML,588
Camptocamp,C,1
Camptocamp,Ruby,8
Camptocamp,Augeas,2
Camptocamp,SCSS,1
MediaTek,C++,174
MediaTek,Makefile,10
MediaTek,Python,81
MediaTek,Perl,172
MediaTek,Java,599
MediaTek,C,2251
MediaTek,Rust,3
Microchip Technology,C++,253
Microchip Technology,Python,121
Microchip Technology,FreeMarker,9
Microchip Technology,TypeScript,2
Microchip Technology,C#,1
Microchip Technology,Makefile,181
Microchip Technology,Java,13
Microchip Technology,HTML,76
Microchip Technology,BitBake,171
Microchip Technology,AMPL,2
Microchip Technology,C,3197
Microchip Technology,JavaScript,51
Microchip Technology,Ruby,7
Pivotal Software,Java,2064
Pivotal Software,Go,3299
Pivotal Software,Ruby,2094
Pivotal Software,Starlark,755
Pivotal Software,OCaml,1
Pivotal Software,Groovy,11
Pivotal Software,HCL,8
Pivotal Software,CSS,2
Pivotal Software,PHP,5
Pivotal Software,C#,83
Pivotal Software,PowerShell,11
Pivotal Software,PLpgSQL,1
Pivotal Software,Erlang,1
Pivotal Software,C,735
Pivotal Software,JavaScript,202
Pivotal Software,Shell,921
Pivotal Software,HTML,1590
Pivotal Software,Dockerfile,180
Pivotal Software,Mustache,13
Pivotal Software,SCSS,1
Pivotal Software,Kotlin,1
Pivotal Software,Python,187
Pivotal Software,Rust,5
Pivotal Software,C++,1
Pivotal Software,TypeScript,1
ConsenSys,Go,403
ConsenSys,Solidity,10
ConsenSys,Java,3391
ConsenSys,JavaScript,10224
ConsenSys,Assembly,97
ConsenSys,HCL,6
ConsenSys,Kotlin,1
ConsenSys,Dafny,166
ConsenSys,Python,38
ConsenSys,TypeScript,346
ConsenSys,HTML,241
ConsenSys,Shell,24
ConsenSys,C#,1
ConsenSys,Markdown,5
ConsenSys,Makefile,15
ConsenSys,Rust,2
Percona,C,10
Percona,TypeScript,85
Percona,Python,4360
Percona,Perl,334
Percona,JavaScript,658
Percona,Dockerfile,176
Percona,TeX,2
Percona,Go,6751
Percona,C++,4349
Percona,HTML,1504
Percona,HCL,99
Percona,Shell,697
Percona,Groovy,2940
Percona,Mustache,141
Percona,CSS,1
Percona,Yacc,1
Okta,Rust,90
Okta,TypeScript,2485
Okta,Java,205
Okta,Go,2925
Okta,C#,107
Okta,EJS,29
Okta,C,1
Okta,SCSS,1
Okta,Shell,80
Okta,JavaScript,4174
Okta,Python,89
Okta,Dart,31
Okta,Vue,36
Okta,CSS,60
Okta,Mustache,86
Okta,Kotlin,87
Okta,Ruby,53
Okta,Swift,735
Okta,Groovy,112
Okta,PHP,221
Okta,Objective-C,3
Okta,Smarty,2
LG Electronics,C++,1083
LG Electronics,HTML,40
LG Electronics,Shell,23
LG Electronics,SCSS,27
LG Electronics,QML,2
LG Electronics,Vim Script,1
LG Electronics,JavaScript,2064
LG Electronics,CSS,22
LG Electronics,CMake,4
LG Electronics,Objective-C,1
LG Electronics,C#,265
LG Electronics,C,423
LG Electronics,BitBake,109
LG Electronics,Jupyter Notebook,3
LG Electronics,Java,1156
LG Electronics,Vim script,46
LG Electronics,Python,772
Texas Instruments,Dart,20
Texas Instruments,Java,20
Texas Instruments,Shell,24
Texas Instruments,Rust,1
Texas Instruments,BitBake,1407
Texas Instruments,Python,257
Texas Instruments,C,3493
Texas Instruments,C++,157
Texas Instruments,Makefile,5
Orange,JavaScript,4033
Orange,TypeScript,32
Orange,Nunjucks,98
Orange,Mustache,4
Orange,C++,45
Orange,RobotFramework,1
Orange,Shell,931
Orange,HTML,98
Orange,D,1
Orange,CSS,10
Orange,PHP,4
Orange,HCL,9
Orange,PowerShell,1
Orange,Cuda,1
Orange,Groovy,1
Orange,Go,567
Orange,Python,1147
Orange,Swift,532
Orange,Smarty,1
Orange,Kotlin,4
Orange,XSLT,1
Orange,Rust,2106
Orange,Java,2494
Orange,Makefile,1043
Orange,C,104
Orange,Ruby,371
Orange,SCSS,10
Orange,Jinja,4
ScyllaDB,C++,15016
ScyllaDB,Go,4740
ScyllaDB,C,32
ScyllaDB,SCSS,1
ScyllaDB,Shell,572
ScyllaDB,Svelte,168
ScyllaDB,Python,8198
ScyllaDB,Java,382
ScyllaDB,Rust,1905
ScyllaDB,Scala,1
ScyllaDB,JavaScript,11
Stripe,Go,486
Stripe,Scala,2
Stripe,Rust,1
Stripe,TypeScript,458
Stripe,Shell,390
Stripe,Swift,3213
Stripe,C,27
Stripe,CSS,6
Stripe,Java,433
Stripe,Kotlin,5730
Stripe,Objective-C,20
Stripe,Ruby,1410
Stripe,PHP,274
Stripe,JavaScript,527
Stripe,C#,238
Stripe,Python,747
Stripe,Lua,20
Stripe,Vim script,5
Stripe,Emacs Lisp,6
Stripe,C++,2
Dynatrace,TypeScript,1146
Dynatrace,Twig,27
Dynatrace,Shell,14
Dynatrace,Lua,29
Dynatrace,SCSS,5
Dynatrace,C,28
Dynatrace,Ruby,53
Dynatrace,Makefile,65
Dynatrace,Swift,2
Dynatrace,C++,17
Dynatrace,Nix,17
Dynatrace,Groovy,1
Dynatrace,Bicep,5
Dynatrace,Rich Text Format,1
Dynatrace,Go,7971
Dynatrace,Jupyter Notebook,61
Dynatrace,HTML,136
Dynatrace,C#,113
Dynatrace,PHP,19
Dynatrace,JavaScript,57
Dynatrace,Dockerfile,50
Dynatrace,Erlang,43
Dynatrace,Rust,1
Dynatrace,Python,743
Dynatrace,Java,794
GitLab,C,31
GitLab,Smarty,5
GitLab,HTML,2
GitLab,Emacs Lisp,5
GitLab,Dockerfile,197
GitLab,Shell,2
GitLab,Ruby,4743
GitLab,Go,2307
GitLab,Java,8
GitLab,Jupyter Notebook,5
GitLab,Roff,3
GitLab,PHP,206
GitLab,Rust,40
GitLab,C++,47
GitLab,CSS,11
GitLab,JavaScript,18
GitLab,HCL,8
GitLab,Python,18
GitLab,reStructuredText,2
Talend,JavaScript,1761
Talend,Kotlin,4
Talend,Clojure,1
Talend,Scala,2
Talend,Mustache,1
Talend,Java,4274
Talend,Go,74
Talend,Python,726
Talend,Handlebars,14
Talend,Groovy,1
Talend,SCSS,1
Talend,HTML,573
Talend,Shell,11
Palantir Technologies,Go,1453
Palantir Technologies,Python,120
Palantir Technologies,R,56
Palantir Technologies,Swift,4
Palantir Technologies,PowerShell,3
Palantir Technologies,Java,8374
Palantir Technologies,TypeScript,1080
Palantir Technologies,Scala,35
Palantir Technologies,Rust,327
Palantir Technologies,Groovy,632
Palantir Technologies,Shell,376
Palantir Technologies,JavaScript,23
Palantir Technologies,HTML,20
Palantir Technologies,C++,6
Palantir Technologies,Haskell,3
Palantir Technologies,CSS,1
Mapbox,C++,17
Mapbox,JavaScript,1079
Mapbox,Kotlin,2636
Mapbox,Go,4
Mapbox,HTML,24
Mapbox,Rust,11
Mapbox,Java,96
Mapbox,Python,37
Mapbox,Swift,2704
Mapbox,TypeScript,35
Mapbox,G-code,4
Mapbox,Objective-C++,3
T-Systems,Swift,403
T-Systems,Rust,101
T-Systems,HTML,120
T-Systems,XSLT,21
T-Systems,Smarty,10
T-Systems,Mustache,3
T-Systems,PowerShell,1
T-Systems,Go,436
T-Systems,Shell,59
T-Systems,Ruby,81
T-Systems,Python,267
T-Systems,Xtend,4
T-Systems,Java,3085
T-Systems,PHP,316
T-Systems,Jinja,236
T-Systems,TypeScript,78
T-Systems,HCL,93
T-Systems,Jupyter Notebook,1
T-Systems,Dockerfile,13
T-Systems,FreeMarker,11
T-Systems,C,21
T-Systems,XML,24
T-Systems,JavaScript,242
T-Systems,CSS,47
Antmicro,C,1809
Antmicro,Tcl,2
Antmicro,C++,3919
Antmicro,Shell,524
Antmicro,C#,888
Antmicro,Starlark,60
Antmicro,Verilog,2637
Antmicro,Go,127
Antmicro,CMake,13
Antmicro,Dockerfile,1
Antmicro,JavaScript,2
Antmicro,Python,1673
Antmicro,SystemVerilog,225
Antmicro,CSS,61
Antmicro,Jupyter Notebook,68
Antmicro,BitBake,20
Antmicro,HTML,3
Antmicro,SCSS,96
Antmicro,HCL,15
Antmicro,TypeScript,2
Antmicro,RobotFramework,5
Antmicro,Rust,2
Camunda,Go,480
Camunda,Kotlin,46
Camunda,Shell,728
Camunda,Less,16
Camunda,Ruby,9
Camunda,C++,1
Camunda,Scala,91
Camunda,TypeScript,150
Camunda,Rust,4
Camunda,Nix,1
Camunda,JavaScript,7638
Camunda,Java,2719
Camunda,HTML,317
Camunda,Makefile,212
Gradle,Kotlin,257
Gradle,Shell,842
Gradle,C++,1
Gradle,Rust,3
Gradle,Mustache,2
Gradle,Groovy,17600
Gradle,TypeScript,699
Gradle,Ruby,5
Gradle,Java,1879
Gradle,Scala,10
Gradle,Dart,1
Gradle,JavaScript,8
Gradle,CSS,7
Autodesk,C++,1107
Autodesk,Python,3490
Autodesk,Go,170
Autodesk,Swift,6
Autodesk,Batchfile,5
Autodesk,Mathematica,123
Autodesk,C#,1369
Autodesk,HTML,1052
Autodesk,Kotlin,14
Autodesk,CSS,21
Autodesk,CMake,2
Autodesk,Groovy,5
Autodesk,Java,9
Autodesk,PowerShell,3
Autodesk,C,1
Autodesk,JavaScript,311
Autodesk,MAXScript,52
Autodesk,TypeScript,73
Autodesk,Rich Text Format,23
Autodesk,Common Lisp,7
Autodesk,Objective-C,4
Autodesk,Visual Basic .NET,3
Autodesk,Ruby,1
Autodesk,Mustache,1
Mendix,SCSS,289
Mendix,CSS,7
Mendix,Ruby,1
Mendix,PowerShell,5
Mendix,HTML,1
Mendix,Markdown,6654
Mendix,JavaScript,23
Mendix,Rust,4
Mendix,C#,15
Mendix,Python,459
Mendix,TypeScript,904
Mendix,Go,4
Mendix,Java,56
Mendix,Shell,9
SiFive,Assembly,33
SiFive,Jupyter Notebook,6
SiFive,Python,51
SiFive,TeX,372
SiFive,C,1461
SiFive,C++,2282
SiFive,Scala,1748
SiFive,Vim Script,3
SiFive,BitBake,1
SiFive,Makefile,130
SiFive,Logos,1
Spryker,TypeScript,41
Spryker,SCSS,1
Spryker,RobotFramework,255
Spryker,Scala,3
Spryker,PHP,12490
Spryker,HCL,20
Spryker,Dockerfile,165
Spryker,CSS,15
Spryker,Twig,47
Spryker,JavaScript,36
Yahoo,Scala,64
Yahoo,JavaScript,264
Yahoo,HCL,32
Yahoo,TeX,1
Yahoo,Shell,106
Yahoo,Swift,1
Yahoo,Vim script,3
Yahoo,Java,3561
Yahoo,Jupyter Notebook,74
Yahoo,Dockerfile,5
Yahoo,Makefile,51
Yahoo,TypeScript,20
Yahoo,Handlebars,4
Yahoo,HTML,355
Yahoo,Python,196
Yahoo,C++,186
Yahoo,Ruby,355
Yahoo,Dart,90
Yahoo,Go,95
Yahoo,C#,1
Arbisoft,Groovy,34
Arbisoft,HTML,33
Arbisoft,SaltStack,10
Arbisoft,C++,2
Arbisoft,JavaScript,1788
Arbisoft,Python,6988
Arbisoft,Java,106
Arbisoft,CSS,34
Arbisoft,SCSS,42
Arbisoft,Ruby,10
Arbisoft,Shell,64
Ericsson,TypeScript,1554
Ericsson,C++,73
Ericsson,Rust,63
Ericsson,Shell,215
Ericsson,C,555
Ericsson,Astro,71
Ericsson,Erlang,10
Ericsson,Lua,21
Ericsson,HCL,10
Ericsson,Swift,4
Ericsson,Vim script,1
Ericsson,Java,644
Ericsson,JavaScript,158
Ericsson,HTML,71
Ericsson,Go,12
Ericsson,Perl,1
Ericsson,C#,1
Ericsson,Dockerfile,2
Ericsson,Python,668
Ericsson,Makefile,508
Ericsson,Ruby,90
MuleSoft,CSS,9
MuleSoft,Shell,1427
MuleSoft,Python,65
MuleSoft,Emacs Lisp,3
MuleSoft,Scala,310
MuleSoft,Java,33031
MuleSoft,JavaScript,112
MuleSoft,DataWeave,142
MuleSoft,HTML,196
MuleSoft,Dockerfile,29
MuleSoft,Jupyter Notebook,1
MuleSoft,RAML,47
MuleSoft,Go,30
MuleSoft,Groovy,52
MuleSoft,C++,1
BBC,WebIDL,4
BBC,C,290
BBC,Elixir,19
BBC,Emacs Lisp,14
BBC,Shell,64
BBC,Perl,8
BBC,Rust,1
BBC,PHP,1
BBC,Vim script,3
BBC,HTML,120
BBC,JavaScript,5704
BBC,TypeScript,113
BBC,RAML,8
BBC,Scala,72
BBC,Java,15
BBC,Lua,122
BBC,Python,406
BBC,Vim Script,6
BBC,Makefile,64
BBC,C++,526
BBC,Jupyter Notebook,98
BBC,Jinja,27
BBC,Ruby,7
BBC,Groovy,2
Datadoghq,Go,466
Datadoghq,Rust,63
Datadoghq,JavaScript,170
Datadoghq,Python,203
Datadoghq,PHP,52
Datadoghq,Java,132
Datadoghq,C#,182
Datadoghq,Ruby,69
Datadoghq,Gherkin,15
Datadoghq,Kotlin,10
Datadoghq,Swift,75
Datadoghq,HTML,54
Datadoghq,TypeScript,41
Datadoghq,Mustache,5
Datadoghq,C++,45
Datadoghq,PowerShell,15
Datadoghq,Shell,3
Datadoghq,Starlark,1
PingCAP,C++,833
PingCAP,CMake,98
PingCAP,TeX,21
PingCAP,Shell,1083
PingCAP,SCSS,10
PingCAP,TypeScript,32
PingCAP,Go,11149
PingCAP,Groovy,244
PingCAP,Java,68
PingCAP,Jsonnet,2
PingCAP,Rust,1026
PingCAP,Python,2007
PingCAP,Ruby,1
PingCAP,JavaScript,6
PingCAP,HTML,7
PingCAP,Smarty,8
Ad Hoc,SCSS,265
Ad Hoc,JavaScript,3104
Ad Hoc,Ruby,1672
Ad Hoc,TypeScript,1497
Ad Hoc,Python,318
Ad Hoc,Go,3
Ad Hoc,Vim Script,2
Ad Hoc,Java,3963
Ad Hoc,Shell,18
Ad Hoc,Nix,2
Ant Group,C++,84
Ant Group,Shell,34
Ant Group,Less,27
Ant Group,SCSS,4
Ant Group,C,187
Ant Group,Rust,1170
Ant Group,Python,115
Ant Group,TeX,13
Ant Group,Sass,1
Ant Group,TypeScript,1299
Ant Group,Go,248
Ant Group,JavaScript,29
Ant Group,Vim Script,4
Ant Group,CSS,1
Ant Group,Java,173
Ant Group,Vim script,22
Ant Group,Mustache,1
MariaDB,Makefile,1
MariaDB,Yacc,292
MariaDB,C,5060
MariaDB,Shell,550
MariaDB,Java,19
MariaDB,Go,1
MariaDB,JavaScript,4
MariaDB,C++,10325
MariaDB,Ruby,26
MariaDB,Tcl,2
MariaDB,PHP,1
MariaDB,Perl,1
MariaDB,TSQL,515
MariaDB,Python,62
MariaDB,HTML,5
Brave,TypeScript,236
Brave,HTML,82
Brave,Ruby,462
Brave,Shell,2
Brave,OCaml,1
Brave,Rust,523
Brave,Python,579
Brave,Swift,163
Brave,Makefile,36
Brave,SCSS,1
Brave,Go,1190
Brave,JavaScript,2550
Brave,C++,11227
CircleCI,Nix,124
CircleCI,Dockerfile,624
CircleCI,Shell,158
CircleCI,CSS,38
CircleCI,TSQL,12
CircleCI,Clojure,10
CircleCI,Lua,2
CircleCI,Jsonnet,2
CircleCI,Go,840
CircleCI,JavaScript,3431
CircleCI,HTML,8017
CircleCI,SCSS,2
CircleCI,Vue,7
CircleCI,Ruby,19
CircleCI,Mustache,4
CircleCI,Swift,30
CircleCI,Batchfile,115
CircleCI,Python,605
CircleCI,Java,24
CircleCI,TypeScript,31
CircleCI,HCL,1
CircleCI,Elm,1
DataStax,Java,4242
DataStax,Python,248
DataStax,Rust,204
DataStax,TypeScript,20
DataStax,MDX,3
DataStax,YAML,16
DataStax,C#,8
DataStax,Go,232
DataStax,JavaScript,143
DataStax,C,6
DataStax,Smarty,4
DataStax,SCSS,2
DataStax,CSS,99
DataStax,C++,15
DataStax,Dockerfile,4
DataStax,Shell,3
DataStax,Scala,2
Tweag,Haskell,3117
Tweag,Nix,1130
Tweag,Jupyter Notebook,95
Tweag,Starlark,1793
Tweag,NCL,4
Tweag,PostScript,1
Tweag,Python,550
Tweag,JavaScript,106
Tweag,Lean,2
Tweag,HTML,7
Tweag,C,1
Tweag,C++,663
Tweag,Rust,3620
Tweag,Java,15
Tweag,Go,46
Tweag,PureScript,2156
Tweag,OCaml,21
Tweag,TypeScript,8
Tweag,Emacs Lisp,4
Tweag,Perl,3
Tweag,Scheme,1
Gofore,Shell,15
Gofore,Clojure,868
Gofore,Scala,19
Gofore,Kotlin,2339
Gofore,Vue,692
Gofore,Python,1383
Gofore,JavaScript,827
Gofore,Java,950
Gofore,C#,3
Gofore,TypeScript,4547
Gofore,HTML,331
Gofore,CSS,10
LINE Corporation,Java,1031
LINE Corporation,C,98
LINE Corporation,Shell,176
LINE Corporation,Elixir,10
LINE Corporation,HCL,16
LINE Corporation,Rust,53
LINE Corporation,Ruby,11
LINE Corporation,Vue,2
LINE Corporation,Scala,3
LINE Corporation,JavaScript,136
LINE Corporation,Jupyter Notebook,1
LINE Corporation,C++,59
LINE Corporation,Python,170
LINE Corporation,Kotlin,410
LINE Corporation,Go,161
LINE Corporation,C#,22
LINE Corporation,TypeScript,217
LINE Corporation,HTML,52
LINE Corporation,Swift,42
LINE Corporation,R,2
LINE Corporation,CSS,11
LINE Corporation,Erlang,1
LINE Corporation,Dart,32
LINE Corporation,CMake,2
LINE Corporation,Emacs Lisp,17
LINE Corporation,Dockerfile,12
Synopsys,PowerShell,111
Synopsys,TypeScript,1429
Synopsys,Java,1880
Synopsys,Shell,128
Synopsys,Groovy,52
Synopsys,JavaScript,12
Synopsys,HTML,5
Synopsys,Python,94
Synopsys,C++,90
Synopsys,Ruby,86
Synopsys,Mustache,3
Synopsys,C,776
Synopsys,C#,36
Synopsys,Go,6
Synopsys,Makefile,15
The Guardian,TypeScript,1827
The Guardian,Python,117
The Guardian,JavaScript,257
The Guardian,Batchfile,17
The Guardian,SCSS,53
The Guardian,CSS,272
The Guardian,Scala,3538
The Guardian,Thrift,28
The Guardian,HTML,1
